Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
chassis,-0.13485,-1.1234E-17,0.18835,0,0,0,34.466,0.61222,1.4442E-16,-0.25305,2.4932,-2.8489E-17,2.8529,0,0,0,0,0,0,package://car/meshes/chassis.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/chassis.STL,,chassis_itr2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fr_steer,1.1102E-16,-2.3592E-16,0.066279,0,0,0,0.1817,0.00057325,5.6093E-21,-1.9024E-20,0.00057787,1.8306E-18,5.889E-05,0,0,0,0,0,0,package://car/meshes/fr_steer.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/fr_steer.STL,,str_axle_itr1-2,Origin_fr_steer_joint,Axis_fr_steer_joint,fr_steer_joint,revolute,0.254,-0.1016,0.0762,0,0,0,chassis,0,0,1,0,0,0,0,,,,,,,,
fr_wheel,4.996E-16,-0.10298,-5.5511E-16,0,0,0,0.83238,0.0037033,1.183E-17,3.3604E-18,0.0053719,4.3262E-18,0.0037033,0,0,0,0,0,0,package://car/meshes/fr_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/fr_wheel.STL,,front_wheel_itr1-1,Origin_fr_wheel_joint,Axis_fr_wheel_joint,fr_wheel_joint,continuous,0,0,0.0254,0,0,0,fr_steer,0,-1,0,,,,,,,,,,,,
fl_steer,-1.1102E-16,-2.3592E-16,0.066279,0,0,0,0.1817,0.00057325,-5.2862E-21,-4.0214E-20,0.00057787,1.8525E-18,5.889E-05,0,0,0,0,0,0,package://car/meshes/fl_steer.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/fl_steer.STL,,str_axle_itr1-1,Origin_fl_steer_joint,Axis_fl_steer_joint,fl_steer_joint,revolute,0.254,0.1016,0.0762,0,0,0,chassis,0,0,1,0,0,0,0,,,,,,,,
fl_wheel,5.5511E-16,0.10298,1.3184E-15,0,0,0,0.83238,0.0037033,-1.1103E-17,-3.4411E-18,0.0053719,1.5824E-17,0.0037033,0,0,0,0,0,0,package://car/meshes/fl_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/fl_wheel.STL,,front_wheel_itr1-2,Origin_fl_wheel_joint,Axis_fl_wheel_joint,fl_wheel_joint,continuous,0,0,0.0254,0,0,0,fl_steer,0,1,0,,,,,,,,,,,,
rear_axle,5.5511E-17,2.0893E-16,2.2204E-16,0,0,0,1.7238,0.077136,2.0778E-16,-4.107E-19,0.010745,-1.6185E-16,0.077136,0,0,0,0,0,0,package://car/meshes/rear_axle.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/rear_axle.STL,,rear_axle_itr1-1,Origin_rear_axle_joint,Axis_rear_axle_joint,rear_axle_joint,continuous,-0.254,0,0.1016,0,0,0,chassis,0,-1,0,,,,,,,,,,,,
